"id","name","nameId","originalId","gender","address","kind","species","level","hp","mp","physicalAttack","physicalDefense","magicalAttack","magicalDefense","speed","technique","charm","luck","armor","commandPatternId","hpHard","mpHard","physicalAttackHard","physicalDefenseHard","magicalAttackHard","magicalDefenseHard","speedHard","techniqueHard","charmHard","luckHard","armorHard","commandPatternIdHard","defenseCommandId","effectScale","directionAngleId","dlcID","area","drop_0_name","drop_0_weight","drop_0_steal","drop_1_name","drop_1_weight","drop_1_steal","drop_2_name","drop_2_weight","drop_2_steal","drop_3_name","drop_3_weight","drop_3_steal","description"
60010,"Plantvine","en_60010",60010,2,"Enemy/en_60010",1,0,3,18,18,34,16,36,16,26,18,0,19,0,60010,19,18,34,16,36,16,26,18,0,19,0,60010,0,1,4,0,"Grum County – North","Plantvine",8,0,"","","","","","","","","","A botanic monster that inhabits grassland. Usually lurks in burrows with only the twin leaves of its head visible. Timid, rarely attacks humans."
60011,"Torasampe","en_60011",60011,2,"Enemy/en_60011",1,3,51,293,293,272,104,272,104,168,173,0,165,0,60011,311,293,279,104,279,104,168,182,0,165,0,60011,0,1,4,0,"Castle Harganthia","","","","","","","","","","","","","A botanic monster in revenant castles. Hides in the ground near the dead, with twin leaves as its only visible feature. Savage and craves human flesh."
60020,"Sahagin","en_60020",60020,2,"Enemy/en_60020",1,0,30,191,212,156,62,156,62,139,133,0,104,0,60020,202,212,158,62,158,62,139,137,0,104,0,60020,12,1,4,0,"Euchrisse","Rune of Water",5,1,"Sahagin",5,0,"","","","","","","An aquatic monster, half fish and half beast, that inhabits shore areas. Arms are unusually strong and well-developed. Apparently a poor swimmer."
60030,"Sea Slater","en_60030",60030,2,"Enemy/en_60030",1,0,35,243,221,194,72,159,58,102,128,0,122,0,60030,258,221,197,72,162,58,102,132,0,122,0,60030,0,1,4,0,"Coastal Cave
","","","","","","","","","","","","","An arthropod monster that inhabits damp shore caves. Rustles about the rocks and licks moss and seaweed. Many humans find it repulsive."
60031,"Blaberus","en_60031",60031,2,"Enemy/en_60031",1,0,34,201,223,161,60,161,60,143,122,0,96,0,60031,213,223,164,60,164,60,143,126,0,96,0,60031,0,1,4,0,"Bounty Hill","","","","","","","","","","","","","An arthropod monster that inhabits damp forest thickets. Rustles up trees and licks sap and fruit. Many humans find it repulsive."
60040,"Shell Octopus","en_60040",60040,2,"Enemy/en_60040",1,0,35,254,254,200,81,200,81,129,105,0,100,0,60040,269,254,204,81,204,81,129,109,0,100,0,60040,0,1,4,0,"Coastal Cave
","Water Beigoma",8,0,"","","","","","","","","","A molluscoid monster that inhabits rocky coastal areas. Usually hides inside tough shells. Spits ink to blind its enemies."
60050,"Sea Lizard","en_60050",60050,2,"Enemy/en_60050",1,0,31,230,209,186,68,152,54,94,118,0,113,0,60050,244,209,189,68,154,54,94,122,0,113,0,60050,0,1,4,0,"Hishahn Old Town","Antivenom Herb",10,1,"","","","","","","","","","A subspecies of lizard that inhabits shore areas. Ferocious and will seize any chance to bite. Does not take damage while hiding underground."
60060,"Sea Ghost","en_60060",60060,2,"Enemy/en_60060",1,3,31,215,238,173,69,173,69,154,125,0,99,0,60060,228,238,176,69,176,69,154,129,0,99,0,60060,0,1,4,0,"Hishahn Old Town","Rune of Dark",5,1,"Sea Ghost",8,0,"","","","","","","A spirit monster that haunts shore areas. If this monster is killed with a curse, it returns in the same form to haunt the land of the living."
60070,"Savage Crab","en_60070",60070,2,"Enemy/en_60070",1,0,35,296,270,237,88,194,70,125,128,0,122,50,60071,314,270,241,88,197,70,125,132,0,122,50,60071,0,1,4,0,"The Seaside Cavern","Rune of Ground Shatter",5,1,"","","","","","","","","","A crustaceous shore monster with giant claws and a hard carapace. Nuisance in attacks, but prized by fishermen for its delicious flavor."
60071,"Desert Crab","en_60071",60071,2,"Enemy/en_60071",1,0,39,290,276,240,112,206,75,124,138,0,131,50,60071,307,276,245,112,210,75,124,143,0,131,50,60071,0,1,4,0,"The Den of the Dunes","Rune of Ground Shatter",5,1,"Desert Crab",5,0,"","","","","","","A crustaceous monster that inhabits the desert. Has giant claws and a hard carapace. Its flesh is so delicious that all fall silent while eating it."
60080,"Remora","en_60080",60080,2,"Enemy/en_60080",1,0,32,238,238,192,77,192,77,119,91,0,88,0,60080,252,238,195,77,195,77,119,94,0,88,0,60080,0,1,4,0,"Drowned City","Remora",8,0,"","","","","","","","","","A monster that inhabits shore areas. Stops prey with high-pressure water and then bites with sharp fangs. Its delicious red flesh is rich in iron."
60090,"Petit Gargoyle","en_60090",60090,2,"Enemy/en_60090",1,0,51,271,302,281,87,230,87,187,194,0,185,0,60090,287,302,288,87,236,87,187,204,0,185,0,60090,0,1,4,0,"Castle Harganthia","Petit Gargoyle",8,0,"","","","","","","","","","A stone castle guardian, imbued with life with high magic. When its magic expires, its eyes lose their color, and it becomes an ordinary statue again."
60100,"Corpse Knight","en_60100",60100,2,"Enemy/en_60100",1,3,42,885,295,214,120,214,120,109,157,0,150,0,60100,938,295,218,120,218,120,109,164,0,150,0,60100,0,1,4,0,"Castle Harganthia","Spirit Medicine",100,0,"","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a low-ranking knight fallen on the battlefield."
60101,"Hell Knight","en_60101",60101,2,"Enemy/en_60101",1,3,52,405,352,328,127,268,102,109,176,0,168,0,60101,429,352,337,127,275,102,109,185,0,168,0,60101,0,1,4,0,"Castle Harganthia","Rune of Divine Skill",3,1,"Topaz Bangle",3,0,"Amethyst Bangle",3,0,"","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a knight fallen on the battlefield."
60110,"Corpse Guard","en_60110",60110,2,"Enemy/en_60110",1,3,45,447,319,242,139,242,139,116,112,0,107,40,60110,474,319,247,139,247,139,116,117,0,107,40,60110,0,1,4,0,"Castle Harganthia","","","","","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a heavy infantryman fallen on the battlefield."
60111,"Cursed Guard","en_60111",60111,2,"Enemy/en_60111",1,3,49,349,317,293,112,239,90,148,167,0,159,40,60111,370,317,300,112,245,90,148,175,0,159,40,60111,0,1,4,0,"Athrabalt","","","","","","","","","","","","","An undead monster utterly bound to its master's will. Raised by a higher revenant from the corpse of a heavy infantryman fallen on the battlefield."
